Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,,vvs,Violett-blau,transparent,Kissen,Cut,"3,92","8,9x8x5,8",360,"91,84",,,,,1,,,,,,,,540
Tansanit,Tansania,,IF ,Violett-blau,transparent,Kissen,Cut,"4,04","8,43x8,57x6,51","227,7","56,36",549,390,,,1,,,,,,,,"341,55"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"4,28","12,94x9,01x5,5","356,46","83,29",,,,,1,,,,,,,,"534,69"
Tansanit,Tansania,,IF ,,transparent,Tropfen,Cut,"4,3","14,50x8x4,5","233,98","54,41",x,380,,,1,,,,,,,,"350,97"
Tansanit,Tansania,,VVS,Gelb,transparent,oval,Cut,"4,3","8,8x9,95x6,55","311,95","72,55",,,,,1,,,,,,,,"467,93"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"4,53",13x8x5,"183,12","40,42",,,,,1,,,,,,,,"274,68"
Tansanit,Tansania,,VVS,Violett-blau,transparent,Tropfen,Cut,"4,68","15x8,5x5",340,"72,65",x,460,,,1,,,,,,,,510
Tansanit,Tansania,,VS,Orange-gelb,transparent,Rund,Cut,"4,81","9,9x7","255,23","53,06",,,,,1,,,,,,,,"382,85"
Tansanit,Tansania,2x,VVS,,transparent,Oktagon,Cut,"4,99",9.1 x 7.0 x3.9      9.1x 6.9 x4.6,"276,46","55,4",,,,,1,,,,,,,,"414,69"
Tansanit,Tansania,,VVS,,transparent,Oval,Cut,"5,05","10,10x10,21x6,38","171,32","33,92",,,,,1,,,,,,,,"256,98"
Tansanit,Tansania,,VVS,Violett-blau,transparent,Tropfen,Cut,"5,14","15x10x5,5",415,"80,74",,,,,1,,,,,,,,"622,5"
Tansanit,Tansania,,VVS,,transparent,Kissen,Cut,"5,16","14,55x9,75x5,4","265,5","51,45",,,,,1,,,,,,,,"398,25"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"5,26",13x10x6,"314,62","59,81",x,600,,,1,,,,,,,,"471,93"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"5,32","13,20x9,30x6,90","392,47","73,77",x,420,,,1,,,,,,,,"588,71"
Tansanit,Tansania,,IF ,,transparent,Kissen,Cut,"5,47","11,46x8,38x6","456,15","83,39",,,,,1,,,,,,,,"684,23"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"5,55","12,17x9,58x6,98","418,44","75,39",,,,,1,,,,,,,,"627,66"
Tansanit,Tansania,,VVS,Violett-blau,transparent,oval,Cut,"6,1",13x10x7,650,"106,56",,,,,1,,,,,,,,975
Tansanit,Tansania,,VVS,,transparent,Kissen,Cut,"6,3","12,21x9,23x5,82","193,55","30,72",,,,,1,,,,,,,,"290,33"
Tansanit,Tansania,,IF ,,transparent,Tropfen,Cut,"6,38","18,70x9,60x5","341,39","53,51",,,,,1,,,,,,,,"512,09"
Tansanit,Tansania,,IF ,,transparent,Oktagon,Cut,"6,73","15,32x9,07x5,23","509,09","75,64",x,500,,,1,,,,,,,,"763,64"
Tansanit,Tansania,,VVS,,transparent,Oval,Cut,"6,81",13.7x10.2x6.5,"453,24","66,56",,,,,1,,,,,,,,"679,86"
